id;Consent_DIRt;ExperimentsIssues_IssuesExperiments_DIRd;ExperimentsIssues_FrequencyIssues_DIRd;ExperimentsIssues_WhoIsGod_DIRd;ExperimentsIssues_Experience_DIRd;Goodbye_DIRt
44;0;"Spelling errors; Data not what we expected; My friends do not have errors in their protocols; Other; fNQqNuGCDutHQGVM7IAVNB6qA1ZEN9YHXyhUTFWzxQFzBk3BddfPNQ3IyBodMHi59tz";Sometimes;NA;1;DONE
45;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; RvAdTZ7i9aLPjLxJ3d5ug6pjLXhVEwELYaHTSX23t2";Often;NA;1;DONE
46;0;"Spelling errors; Data preparation was harder than it could have been; My friends do not have errors in their protocols; Other; OdLkiCK8V9sRemoVnZSkCeCEqURmVn0Sf1IRsR1IsoumNbBcpiS9TexEh0FBVL1qV3kp";Sometimes;NA;2;DONE
47;0;"Spelling errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Other; erMrAmA1sMvGBG7d3nQAdK9Eed5JfuHSLhgTOYzJTfD16FP9VokNwc9ElkX61a0rPTtkRivn7yKUQlgT";Often;NA;4;DONE
48;0;"NA; NA";Never;Me;2;DONE
49;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; KDJwftKQ7l8lqm8ntvcHhDBSPKI";Rarely;NA;3;DONE
5;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; KDO408BcqVjsmy5a26xVPw6Y7EQ8T3F8TUbcNH37oXsT90d6q9Zdr";Rarely;NA;4;DONE
50;0;"NA; NA";Never;My research assistant;1;DONE
51;0;"Match between hypotheses and data not clear; NA";Sometimes;NA;3;DONE
52;0;"NA; NA";Never;Me;2;DONE
53;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; gM48YowEmVekk35gcfO3rQ68zFraKaTIjvGzLo5";Rarely;NA;1;DONE
54;0;"NA; NA";Never;My research assistant;1;DONE
55;0;"Spelling errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; rwjSqqZSszA0RMYhv00sPTRTUIbEicqByRYvoBOAwPxr";Always;NA;3;DONE
56;0;"Important content errors; NA";Often;NA;2;DONE
57;0;"NA; NA";Never;Me;3;DONE
58;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other; m4b0fdakMCVqPBJ9WvSE7U47uRVJjUNIR9t8J8AMFT";Always;NA;1;DONE
59;0;"NA; NA";Never;Me;3;DONE
6;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Ts5k2rZwhecoVKNfxSFEwCWSDF13rRu";Often;NA;1;DONE
60;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; RM";Rarely;NA;3;DONE
61;0;"Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Often;NA;2;DONE
62;0;"Errors in the coding of items; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA";Sometimes;NA;3;DONE
63;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; HcZoA09u1s2xQ4rz1v";Sometimes;NA;2;DONE
64;0;"Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; tDSsKDjPDHZkKibUpCYRDWB9rG56";Sometimes;NA;1;DONE
65;0;"Important content errors; Data preparation was harder than it could have been; Match between hypotheses and data not clear; NA";Often;NA;2;DONE
66;0;"Other; jTzz2lfyYkYB1K6aklDjquuhPmZOCldKmvRkowbQDXEN7ToTC2Gx41MZCfAbhOHNh6giEQ4mkUHd";Rarely;NA;4;DONE
67;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; lpwjC1yG6ViS0rE66fXNAbNUUsoAlkg5h7lQ0quUGlkRRUmI8216kawk8y1d1rcySLCZJSXyYtCO1wCr7yQypg";Sometimes;NA;4;DONE
68;0;"NA; NA";Never;Me;4;DONE
69;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; VexQzLBfy2aONzF";Sometimes;NA;1;DONE
6jbc0fa097qswtmh61gr;0;"My friends do not have errors in their protocols; NA";Sometimes;NA;NA;DONE
7;0;"Data preparation was harder than it could have been; Errors so bad that my friend had to start over; NA";Rarely;NA;4;DONE
70;0;"Match between hypotheses and data not clear; My friends do not have errors in their protocols; NA";Sometimes;NA;2;DONE
71;0;"Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA";Rarely;NA;1;DONE
72;0;"Match between hypotheses and data not clear; My friends do not have errors in their protocols; NA";Often;NA;2;DONE
73;0;"Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; 4U9NIyIkfCR8hqfP4v0wbvi";Sometimes;NA;1;DONE
74;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; KTFJ1OiDrlERNtHGiChNezIqX7tBaM1Uj";Often;NA;3;DONE
75;0;"NA; NA";Never;Me;1;DONE
76;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; Other; KTFJ1OiDrlERNtHGiChNezIqX7tBaM1Uj";Rarely;NA;3;DONE
77;0;"Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; gzXxfIMAYVCdgdM66BE4oalL0o0CVKLX";Always;NA;1;DONE
78;0;"NA; NA";Never;My research assistant;3;DONE
79;0;"NA; NA";Never;Me;1;DONE
8;0;"Errors so bad that my friend had to start over; NA";Sometimes;NA;1;DONE
80;0;"NA; NA";Never;Me;2;DONE
81;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; WV75QB1JSHnps88HLKAYVZYtzwOuBsf3XxPsm2pebyO";Rarely;NA;2;DONE
82;0;"Errors in participants balancing to conditions; NA";Sometimes;NA;3;DONE
83;0;"Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA";Always;NA;2;DONE
84;0;"Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA";Rarely;NA;2;DONE
85;0;"Spelling errors; Important content errors; NA";Always;NA;3;DONE
86;0;"Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; S1VEVTtMincRoLW";Sometimes;NA;4;DONE
87;0;"Errors in the coding of items; Data preparation was harder than it could have been; NA";Often;NA;4;DONE
88;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; My friends do not have errors in their protocols; Other; uij8vyfah9Thv73XaKvap7yEEexsaB3HjQwm1uec4znjCUmOxd6j5FMiO7apeeMXD4BSbqlKdLDeJfALkYh3FR9";Rarely;NA;2;DONE
89;0;"Important content errors; Errors in participants balancing to conditions; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; VNP0XQ5Ya429RAxJcQHLNxJeHma3VSTMi7mdndKdvZMRrcnia2KzXZS5n0SAGuE3I0IsfS3dRGy5m7s8O5N";Often;NA;2;DONE
9;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; QQwSpAvFKpe0o76TE68ZMTZ39o94BfTgnmVDBF3jQgjVm1SJ";Often;NA;4;DONE
90;0;"NA; NA";Never;My research assistant;2;DONE
91;0;"Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; Other; MlN6fHk2G6KWqMvOBydDkoQJpcdFulSjYRJrwb3xYsmM3oKxViJ1UqIPd4ickc8gLIBsE3EhsyKITVVzIUVV3BMwSULA";Often;NA;2;DONE
92;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; saLpz0Zqg0CcCu29ikaAXO0aDWtcoyP";Sometimes;NA;3;DONE
93;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; iChRQLX6ltVsRwaaILUNbaFKHDUEfNwqCOgGqYA6HkgklMR9p9VQbBsU3jHUM";Rarely;NA;2;DONE
94;0;"Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols; NA";Rarely;NA;3;DONE
95;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; XSk804RQ4JXkQglItoj056NDe9UTF";Often;NA;3;DONE
96;0;"Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Other; ZeUjc02M9CSukuIKgM5";Always;NA;3;DONE
97;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; byEbfRZiK2au0KmhdXymCYhZCzBKX9Gwax0yuEpIKKTe1dWjOv7mjajdXnZQ9Ccuqp3dlo";Rarely;NA;4;DONE
98;0;"Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; LnCUy5quaxBCxHXYmCeQgqgK5KIM8WxvMOmQChy7NtUtMuuY9chnYm480Dv9pgqMhp";Rarely;NA;4;DONE
99;0;"Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; XlYQScEFwmc7TH8cokv1CZLIH8h";Sometimes;NA;3;DONE
a3mxta3zg3ddh67swze1;0;"NA; NA";Never;My research assistant;NA;DONE
b12dde0ec0ms936w94dm;0;"Errors so bad that my friend had to start over; NA";Rarely;NA;4;DONE
ojnumx2saz28r671fgws;0;"NA; NA";Never;My research assistant;3;DONE
