id,ExperimentsIssues_000_RAW,ExperimentsIssues_001_RAW,ExperimentsIssues_002_RAW,ExperimentsIssues_003_RAW,ExperimentsIssues_004_RAW,ExperimentsIssues_005_RAW,ExperimentsIssues_000_DIR,ExperimentsIssues_001_DIR,ExperimentsIssues_IssuesExperiments_DIRd,ExperimentsIssues_003_DIR,ExperimentsIssues_005_DIR,ExperimentsIssues_RAW_NA,ExperimentsIssues_DIR_NA,ExperimentsIssues_FrequencyIssues_DIRd,ExperimentsIssues_WhoIsGod_DIRd,ExperimentsIssues_Experience_DIRd
156,,Always,Spelling errors; Important content errors; Data not what we expected; Errors so bad that my friend had to start over; Other,NA,m266tzUMUD0Mt,Postdoc or non-ternure track Academic,,Always,Spelling errors; Important content errors; Data not what we expected; Errors so bad that my friend had to start over; Other; m266tzUMUD0Mt,NA,2,1,1,Always,NA,2
157,,Rarely,Important content errors; Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,huCA5pUuncWurJgwkoapjJs76sB7bVKLhIyWn6WydGqCb4sCHdjNbctg94LSzc,Early Career Academic,,Rarely,Important content errors; Errors in the coding of items; Data not what we expected; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; huCA5pUuncWurJgwkoapjJs76sB7bVKLhIyWn6WydGqCb4sCHdjNbctg94LSzc,NA,3,1,1,Rarely,NA,3
158,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
159,,Never,NA,Of course,NA,Early Career Academic,,Never,NA; NA,Me,3,2,2,Never,Me,3
16,,Always,Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over,NA,NA,"Student (Master, PhD,...)",,Always,Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA,NA,1,2,2,Always,NA,1
160,,Sometimes,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over,NA,NA,Early Career Academic,,Sometimes,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; NA,NA,3,2,2,Sometimes,NA,3
161,,Never,NA,Of course,NA,Senior academic,,Never,NA; NA,Me,4,2,2,Never,Me,4
162,,Always,Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,cclRUul88r8myCkLqpHRkeSMDiha3cDFm7aKT4r0rC0B0ElXVun3MN5ycxdK99Q0JjYTaxV,Early Career Academic,,Always,Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; cclRUul88r8myCkLqpHRkeSMDiha3cDFm7aKT4r0rC0B0ElXVun3MN5ycxdK99Q0JjYTaxV,NA,3,1,1,Always,NA,3
163,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Rarely,NA,3
164,,Often,Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,NFp5L4uYFfA5KaX5g1ifMT5bB5Zt8owE1WYIwZsrpWKMaGOgLXhdu7aQanxkt3a1KcrY0cSwxTGnmYVVTZjGY9pc6Ey2EoNxIC,Early Career Academic,,Often,Spelling errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; NFp5L4uYFfA5KaX5g1ifMT5bB5Zt8owE1WYIwZsrpWKMaGOgLXhdu7aQanxkt3a1KcrY0cSwxTGnmYVVTZjGY9pc6Ey2EoNxIC,NA,3,1,1,Often,NA,3
165,,Often,Errors in participants balancing to conditions; Data not what we expected; Other,NA,kHUyRo6toXw3KVlB2CW4kJ26iEZNdAMvVVk7aD7jXCnGmM3Eqgj,Early Career Academic,,Often,Errors in participants balancing to conditions; Data not what we expected; Other; kHUyRo6toXw3KVlB2CW4kJ26iEZNdAMvVVk7aD7jXCnGmM3Eqgj,NA,3,1,1,Often,NA,3
166,,Always,Spelling errors; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Always,Spelling errors; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,3,2,2,Always,NA,3
167,,Sometimes,Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Sometimes,Errors in participants balancing to conditions; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Sometimes,NA,3
168,,Sometimes,Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,Senior academic,,Sometimes,Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,4,2,2,Sometimes,NA,4
169,,Rarely,Important content errors; My friends do not have errors in their protocols; Other,NA,4rQU0cJz8YaLXw1F1MdpXvFYytlJGTS5AG6qHhSSadicjNGdi9i4j9e0Fw1R33NJ6UGHD0RT3BAC1GQ,Early Career Academic,,Rarely,Important content errors; My friends do not have errors in their protocols; Other; 4rQU0cJz8YaLXw1F1MdpXvFYytlJGTS5AG6qHhSSadicjNGdi9i4j9e0Fw1R33NJ6UGHD0RT3BAC1GQ,NA,3,1,1,Rarely,NA,3
17,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over,NA,NA,Early Career Academic,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA,NA,3,2,2,Always,NA,3
170,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,YFgFKb8mMMLUXFPQZ1aeCwOPXIvxyXJhSfyXIaJG0ygy7TfOAgw,Senior academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; YFgFKb8mMMLUXFPQZ1aeCwOPXIvxyXJhSfyXIaJG0ygy7TfOAgw,NA,4,1,1,Sometimes,NA,4
171,,Never,NA,Of course,NA,Early Career Academic,,Never,NA; NA,Me,3,2,2,Never,Me,3
172,,Rarely,Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over,NA,NA,Senior academic,,Rarely,Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA,NA,4,2,2,Rarely,NA,4
173,,Sometimes,Important content errors; Data preparation was harder than it could have been,NA,NA,Postdoc or non-ternure track Academic,,Sometimes,Important content errors; Data preparation was harder than it could have been; NA,NA,2,2,2,Sometimes,NA,2
174,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,gQzs,Postdoc or non-ternure track Academic,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; gQzs,NA,2,1,1,Rarely,NA,2
175,,Sometimes,Important content errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Sometimes,Important content errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,1,2,2,Sometimes,NA,1
176,,Sometimes,Spelling errors; Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other,NA,qi5WESe9eNJZ8veS6CvJGiN1WGATKvYByUUaigAxg9Zep47tYV89AYf9ZlZmfDH5aM9SHOJa9d0okeRRmSzNzT,Senior academic,,Sometimes,Spelling errors; Important content errors; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; qi5WESe9eNJZ8veS6CvJGiN1WGATKvYByUUaigAxg9Zep47tYV89AYf9ZlZmfDH5aM9SHOJa9d0okeRRmSzNzT,NA,4,1,1,Sometimes,NA,4
177,,Never,NA,Of course,NA,Postdoc or non-ternure track Academic,,Never,NA; NA,Me,2,2,2,Never,Me,2
178,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
179,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
18,,Sometimes,Data not what we expected,NA,NA,Early Career Academic,,Sometimes,Data not what we expected; NA,NA,3,2,2,Sometimes,NA,3
180,,Always,Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Senior academic,,Always,Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,4,2,2,Always,NA,4
181,,Often,Spelling errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Often,Spelling errors; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,1,2,2,Often,NA,1
182,,Rarely,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other,NA,0qlAb0GZnM0CPATuVadmkk6buBMVBjl68YKv8SDn4lXBC1zFkvWIlhM,"Student (Master, PhD,...)",,Rarely,Spelling errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Other; 0qlAb0GZnM0CPATuVadmkk6buBMVBjl68YKv8SDn4lXBC1zFkvWIlhM,NA,1,1,1,Rarely,NA,1
183,,Often,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over,NA,NA,Early Career Academic,,Often,Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA,NA,3,2,2,Often,NA,3
184,,Never,NA,"No, but my Research assistant is",NA,"Student (Master, PhD,...)",,Never,NA; NA,My research assistant,1,2,2,Never,My research assistant,1
185,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,b63FBHNQ1UG0Ps3D7S5dNHfqcCo2fokLmbfzP884qykTbrATXEjE4aqNhXprhm,Postdoc or non-ternure track Academic,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; b63FBHNQ1UG0Ps3D7S5dNHfqcCo2fokLmbfzP884qykTbrATXEjE4aqNhXprhm,NA,2,1,1,Always,NA,2
186,,Sometimes,Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Sometimes,Spelling errors; Important content errors; Errors in participants balancing to conditions; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; NA,NA,3,2,2,Sometimes,NA,3
187,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other,NA,SR9a7GMzsZbOs9ZSmizDMU4aO11gLRS75,Early Career Academic,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; Other; SR9a7GMzsZbOs9ZSmizDMU4aO11gLRS75,NA,3,1,1,Rarely,NA,3
188,,Often,Errors so bad that my friend had to start over; Other,NA,tRI5H2SCEHwA8uKwxCxEK5yNSg0XR1PhQBNdzt9BclakxvJGAGT92XcZWGLB8YtjqvQze2SmXC,Senior academic,,Often,Errors so bad that my friend had to start over; Other; tRI5H2SCEHwA8uKwxCxEK5yNSg0XR1PhQBNdzt9BclakxvJGAGT92XcZWGLB8YtjqvQze2SmXC,NA,4,1,1,Often,NA,4
189,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,yLG01moSBliQHJkwmGTxl1MzW5KriR4rnLIQ16Ur3Fikc0xTzOMjJ5OKqbyBgU,Senior academic,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; yLG01moSBliQHJkwmGTxl1MzW5KriR4rnLIQ16Ur3Fikc0xTzOMjJ5OKqbyBgU,NA,4,1,1,Always,NA,4
19,,Sometimes,Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,Z8qxtWofgjiI3nq5z67pHiqVNFTTdZkyon,Senior academic,,Sometimes,Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; Z8qxtWofgjiI3nq5z67pHiqVNFTTdZkyon,NA,4,1,1,Sometimes,NA,4
190,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,kA04tvNQYSqFDmj8cuYZh0Drytm50o5B9T5QUfhCtRGvul54DL9oURGAZRZ6bSswmRdyIv5,Senior academic,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; kA04tvNQYSqFDmj8cuYZh0Drytm50o5B9T5QUfhCtRGvul54DL9oURGAZRZ6bSswmRdyIv5,NA,4,1,1,Sometimes,NA,4
191,,Sometimes,Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols,NA,NA,Senior academic,,Sometimes,Errors in the coding of items; Data not what we expected; Match between hypotheses and data not clear; My friends do not have errors in their protocols; NA,NA,4,2,2,Sometimes,NA,4
192,,Sometimes,Spelling errors; Important content errors; Match between hypotheses and data not clear,NA,NA,Senior academic,,Sometimes,Spelling errors; Important content errors; Match between hypotheses and data not clear; NA,NA,4,2,2,Sometimes,NA,4
193,,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,9svmvoDAedoa2ZGCE9BO8qqjXszWFKwFAbqYoQlLSzoaxBBz6K63FyZ8341DO0,"Student (Master, PhD,...)",,Sometimes,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; 9svmvoDAedoa2ZGCE9BO8qqjXszWFKwFAbqYoQlLSzoaxBBz6K63FyZ8341DO0,NA,1,1,1,Sometimes,NA,1
194,,Always,Errors in the coding of items; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Other,NA,ruPSIbXtBmvxz0BuJxpjrnI9jpbqzObkxfXKq04Rfh,Postdoc or non-ternure track Academic,,Always,Errors in the coding of items; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; Other; ruPSIbXtBmvxz0BuJxpjrnI9jpbqzObkxfXKq04Rfh,NA,2,1,1,Always,NA,2
195,,Always,Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Always,Errors in participants balancing to conditions; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,1,2,2,Always,NA,1
196,,Rarely,Spelling errors; Important content errors; Errors so bad that my friend had to start over; Other,NA,3iPXsR2d9P67ED1EGtKjaDtTT8qdtsL7xJw7UlaE65s93tI4PvQG7J5bI3cyT,Early Career Academic,,Rarely,Spelling errors; Important content errors; Errors so bad that my friend had to start over; Other; 3iPXsR2d9P67ED1EGtKjaDtTT8qdtsL7xJw7UlaE65s93tI4PvQG7J5bI3cyT,NA,3,1,1,Rarely,NA,3
197,,Always,My friends do not have errors in their protocols,NA,NA,Postdoc or non-ternure track Academic,,Always,My friends do not have errors in their protocols; NA,NA,2,2,2,Always,NA,2
198,,Rarely,Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Other,NA,qC1jq7GW1yAsZBMA8r1ybbYVXQDIyQw9GS,Postdoc or non-ternure track Academic,,Rarely,Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Other; qC1jq7GW1yAsZBMA8r1ybbYVXQDIyQw9GS,NA,2,1,1,Rarely,NA,2
199,,Never,NA,"No, but my Research assistant is",NA,Senior academic,,Never,NA; NA,My research assistant,4,2,2,Never,My research assistant,4
2,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other,NA,hWfvHlnFbMffJuC2V8,Senior academic,,Often,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; My friends do not have errors in their protocols; Other; hWfvHlnFbMffJuC2V8,NA,4,1,1,Often,NA,4
20,,Always,Important content errors; Other,NA,HpdWj8ehSivFSwy7TYu8zw5VOuRpjoOg0p0CubNR2yQxtdycKLOm2kfAGVfylZqBGpgE28DTCi0NV0a9MemYE55If0CvvjKVkccD,Early Career Academic,,Always,Important content errors; Other; HpdWj8ehSivFSwy7TYu8zw5VOuRpjoOg0p0CubNR2yQxtdycKLOm2kfAGVfylZqBGpgE28DTCi0NV0a9MemYE55If0CvvjKVkccD,NA,3,1,1,Always,NA,3
200,,Rarely,Data not what we expected; Data preparation was harder than it could have been; Other,NA,0uxLQZ8O46hw3f37DqF5VFxjTQu7g1XVwhOEnlrljFkvd4v0TesL2NIucC7kvPxSBQ6eAk3XGQ0pVZ,"Student (Master, PhD,...)",,Rarely,Data not what we expected; Data preparation was harder than it could have been; Other; 0uxLQZ8O46hw3f37DqF5VFxjTQu7g1XVwhOEnlrljFkvd4v0TesL2NIucC7kvPxSBQ6eAk3XGQ0pVZ,NA,1,1,1,Rarely,NA,1
21,,Sometimes,Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Senior academic,,Sometimes,Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,4,2,2,Sometimes,NA,4
22,,Never,NA,Of course,NA,Early Career Academic,,Never,NA; NA,Me,3,2,2,Never,Me,3
23,,Never,NA,"No, but my Research assistant is",NA,Early Career Academic,,Never,NA; NA,My research assistant,3,2,2,Never,My research assistant,3
24,,Never,NA,Of course,NA,Postdoc or non-ternure track Academic,,Never,NA; NA,Me,2,2,2,Never,Me,2
25,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,loZgOTXv8hAbVtO14TBYV8gN22XnkMSCtREyTg3MbwMCfxNrBl320b11,"Student (Master, PhD,...)",,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; loZgOTXv8hAbVtO14TBYV8gN22XnkMSCtREyTg3MbwMCfxNrBl320b11,NA,1,1,1,Rarely,NA,1
26,,Sometimes,Errors in participants balancing to conditions,NA,NA,Postdoc or non-ternure track Academic,,Sometimes,Errors in participants balancing to conditions; NA,NA,2,2,2,Sometimes,NA,2
27,,Sometimes,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other,NA,Gb2IG6WpFR7fz1eCTSIqTn8ssAw9fi6Y4XtZbCYoDHqlyMyOzRPljWrvspNc08dpJDGQ12SvO6B2UR1dYC0igEdsnpwNUwKxFiMI,Early Career Academic,,Sometimes,Spelling errors; Important content errors; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; Other; Gb2IG6WpFR7fz1eCTSIqTn8ssAw9fi6Y4XtZbCYoDHqlyMyOzRPljWrvspNc08dpJDGQ12SvO6B2UR1dYC0igEdsnpwNUwKxFiMI,NA,3,1,1,Sometimes,NA,3
28,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Always,Spelling errors; Important content errors; Errors in the coding of items; Errors in participants balancing to conditions; Data not what we expected; Data preparation was harder than it could have been; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Always,NA,3
29,,Always,Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols,NA,NA,Early Career Academic,,Always,Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; My friends do not have errors in their protocols; NA,NA,3,2,2,Always,NA,3
2pqked5vawp4soxrdwx9,,Never,NA,"No, but my Research assistant is",NA,NA,,Never,NA; NA,My research assistant,NA,3,3,Never,My research assistant,NA
3,,Sometimes,Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over,NA,NA,"Student (Master, PhD,...)",,Sometimes,Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; Errors so bad that my friend had to start over; NA,NA,1,2,2,Sometimes,NA,1
30,,Often,Important content errors; Errors in the coding of items; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Postdoc or non-ternure track Academic,,Often,Important content errors; Errors in the coding of items; Match between hypotheses and data not clear; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,2,2,2,Often,NA,2
31,,Sometimes,Spelling errors; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper,NA,NA,Senior academic,,Sometimes,Spelling errors; Data not what we expected; Some variables or questions asked to participants but not used in the analysis/paper; NA,NA,4,2,2,Sometimes,NA,4
32,,Rarely,Errors in the coding of items; Other,NA,gCMewgsu9xUV73x3m2x3ghPhgj0357c7NkC2rI2DehRuqpkMrrOa2EZjCphvgOjtt0N3gdyM3fklFq2sK1mvZeQ41DPSLz,Senior academic,,Rarely,Errors in the coding of items; Other; gCMewgsu9xUV73x3m2x3ghPhgj0357c7NkC2rI2DehRuqpkMrrOa2EZjCphvgOjtt0N3gdyM3fklFq2sK1mvZeQ41DPSLz,NA,4,1,1,Rarely,NA,4
33,,Never,NA,"No, but my Research assistant is",NA,Postdoc or non-ternure track Academic,,Never,NA; NA,My research assistant,2,2,2,Never,My research assistant,2
34,,Often,Errors in the coding of items; Data preparation was harder than it could have been,NA,NA,Senior academic,,Often,Errors in the coding of items; Data preparation was harder than it could have been; NA,NA,4,2,2,Often,NA,4
35,,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected,NA,NA,"Student (Master, PhD,...)",,Rarely,Spelling errors; Important content errors; Errors in the coding of items; Data not what we expected; NA,NA,1,2,2,Rarely,NA,1
36,,Sometimes,Errors in the coding of items; Data preparation was harder than it could have been; My friends do not have errors in their protocols,NA,NA,"Student (Master, PhD,...)",,Sometimes,Errors in the coding of items; Data preparation was harder than it could have been; My friends do not have errors in their protocols; NA,NA,1,2,2,Sometimes,NA,1
37,,Rarely,Errors in participants balancing to conditions,NA,NA,"Student (Master, PhD,...)",,Rarely,Errors in participants balancing to conditions; NA,NA,1,2,2,Rarely,NA,1
